Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
240	677.0	2876.0	['Pvalb']	[1.949481170290636]	['Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.003272379867727325, 0.005139487409574772, 0.0064873050685208865, 0.008548591606992447, 0.0059490020614496085, 0.9665557259241631]
241	677.0	800.0	['6330403K07Rik', 'Aldoc', 'Cplx2', 'Cryab', 'Id2', 'Nrn1', 'Pde1a', 'Prkca', 'Pvalb', 'Rgs4', 'Satb1', 'Tac1']	[0.9951211219392077, 1.5530050060730178, 3.7862992560198547, 0.11793577125433247, 4.772965986893847, 0.20847161822474633, 0.9831803392934257, 0.02428166966664425, 1.5161957473280703, 0.03145390931841798, 0.7260270747267303, 0.034540216242261945]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Cacna2d1.Ndnf.Cxcl14', 'Calb2.Cryab']	[0.033087094802837294, 0.016059738112423238, 0.8937229360583853, 0.04424248117839601, 0.0051840104645471145, 0.001269334573351731, 0.0036974740344462363]
242	683.0	540.0	['Aldoc', 'Cplx2', 'Enc1', 'Id2', 'Neurod6', 'Prkca', 'Satb1', 'Sulf2']	[3.94338837809978, 2.247535366687673, 0.023948636069544175, 2.9231738354420056, 0.9619174396435144, 0.001873910445190342, 0.03272693465296475, 0.9951084194183869]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5']	[0.11677984649176353, 0.16177426150929136, 0.4763743163923527, 0.19635335062782605, 0.04851591138360637]
243	698.0	2906.0	['6330403K07Rik', 'Cnr1', 'Cplx2', 'Pvalb', 'Satb1']	[0.9188085612541678, 0.9819551920102632, 0.9765211018888584, 1.9871218973902243, 0.9280916811687207]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.5', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Calb2.Vip.Nos1', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Pvalb.Tac1.Nr4a2', 'Sst.Erbb4.Crh', 'Vsmc', 'Zero']	[0.0033807708475864693, 0.0011147995840789713, 0.001801751088772014, 0.0025723131313281195, 0.0023618844782268863, 0.0017986268687577942, 0.0035025438683885628, 0.004723686353257874, 0.0018366091513787846, 0.0017734147273287004, 0.003858681709985695, 0.006885485890227725, 0.0068517542203054135, 0.009038211842182033, 0.025579622645496947, 0.0010751907825128503, 0.00799560778444476, 0.9094013090701851]
244	695.0	1114.0	['3110035E14Rik', 'Aldoc', 'Arpp21', 'Bcl11b', 'Cnr1', 'Cplx2', 'Crhbp', 'Enc1', 'Enpp2', 'Gad1', 'Gda', 'Htr3a', 'Kit', 'Neurod6', 'Nov', 'Npy', 'Nrn1', 'Pcp4', 'Pde1a', 'Plcxd2', 'Prkca', 'Rasgrf2', 'Reln', 'Rgs4', 'Scg2', 'Snca', 'Th']	[3.946778882269556, 0.2778414319626007, 0.998705072967639, 1.0973423499410657, 1.0902830862995119, 3.8220750139497435, 0.12021418412658309, 6.11925618632011, 0.01926530040022786, 0.04236589829979836, 0.0015180735375084113, 2.9391870916914793, 0.9510233858793246, 11.634528370612626, 0.9959170483094365, 0.07571247391190908, 1.9903935031111983, 4.974786291100429, 1.2859655502104772, 0.1490955485563549, 3.6684389916307234, 0.1662108119402996, 0.9863822321237399, 4.931035081252102, 1.0055583753779678, 1.032536088168558, 0.001799510675581214]	['PC.Other2']	[0.9990614122094134]
245	690.0	1698.0	['3110035E14Rik', '6330403K07Rik', 'Aldoc', 'Cplx2', 'Cxcl14', 'Enc1', 'Id2', 'Neurod6', 'Prkca', 'Pvalb', 'Rgs4', 'Satb1']	[0.03402500661270316, 0.31957567293360045, 2.240170781836687, 2.5954502457838013, 0.9953493324266999, 0.7436002607491772, 4.3174267024321935, 1.033062560789005, 1.3736430058893585, 0.002265335101447035, 0.336878117654016, 0.017103542780140327]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Calb2.Cryab']	[0.036719855506851674, 0.07763446944151087, 0.720789179953988, 0.1445742822078574, 0.016918665551994016, 0.0011905428605445086]
246	700.0	2137.0	['3110035E14Rik', 'Cdh13', 'Cplx2', 'Pcp4', 'Rgs12']	[1.9755641606517151, 0.9943809885788544, 1.740394800272175, 0.09312492683731859, 0.9790307085798005]	['Astro.1', 'Astro.2', 'Astro.5', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Vip', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'PC.CA1.1', 'PC.CA1.2', 'Vsmc', 'Zero']	[0.0035415335920233166, 0.0010924811081986499, 0.0025638828091350653, 0.0010645834784023844, 0.0014345563717200977, 0.0021935975616535134, 0.0011039663563298097, 0.006311010860413761, 0.007310817541887519, 0.00613011042798434, 0.008949817897432825, 0.014500124941318792, 0.001190853530558911, 0.011305481707039745, 0.9270364769356252]
247	693.0	1249.0	['3110035E14Rik', 'Aldoc', 'Cnr1', 'Cplx2', 'Crym', 'Enc1', 'Fam19a1', 'Neurod6', 'Npy2r', 'Nrn1', 'Nrsn1', 'Pcp4', 'Pde1a', 'Penk', 'Prkca', 'Rgs4', 'Rorb', 'Satb1', 'Slc6a1', 'Snca', 'Trp53i11']	[2.259496036026163, 0.4309552516436451, 0.08615728786275614, 3.459430559272141, 2.39359790925151, 1.1916048815106197, 0.755870465896114, 5.218274276793404, 0.013182148967380456, 1.6569729579844792, 0.009070292236523697, 3.026431715500834, 1.9030047275737636, 0.05634659756823552, 3.4379940637234374, 1.5618211958754233, 0.021955827305501996, 0.9434214239022471, 0.005375568545459989, 0.0010545849888768757, 0.0031931629735507815]	['PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.00751192711369978, 0.062170255865947995, 0.929428280522011]
248	698.0	838.0	['Aldoc', 'Arpp21', 'Cplx2', 'Id2', 'Kctd12', 'Neurod6', 'Npy', 'Pde1a', 'Plp1', 'Prkca', 'Rgs4', 'Tac1']	[1.9617030376269593, 0.024053426304474657, 2.3553002002980157, 0.0033073138173037764, 0.9883078743587759, 0.07207806593121142, 0.9946551803380219, 0.0026967027839690638, 0.6583702573754211, 0.006572949415340746, 0.5481934339133422, 0.2871278469584699]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Calb2.Vip.Nos1', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'PC.CA1.1', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.2600993461340305, 0.07498750911064224, 0.08337454234638178, 0.07949536733029623, 0.18216186555487848, 0.0014054493330358743, 0.0017171698852101365, 0.004039159093337013, 0.012855475460249653, 0.009601880762697163, 0.01825117568572875, 0.006586610001488237, 0.00566577405788029, 0.008647635100435336, 0.004926303262895191, 0.005112137959332975, 0.004509522033211379, 0.001956958168584483, 0.007804424302205102, 0.2246075607409221]
249	710.0	2728.0	['Aldoc', 'Arpp21', 'Cplx2', 'Plp1', 'Slc6a1', 'Sst']	[0.992674048569942, 0.9900836920498841, 0.004483668014702982, 2.997696372250316, 0.9920796252874416, 0.9840390300619906]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.1', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.04528083275446592, 0.016044389137509968, 0.00604760263358267, 0.047217172632768936, 0.10374148411166122, 0.009922921102141675, 0.10673999577530845, 0.44434888591671895, 0.019585879096484186, 0.013431248712180563, 0.0010462774463022568, 0.002821958927063238, 0.01599578508358639, 0.012844969614935095, 0.15216712556461914]
250	726.0	2969.0	['Cdh13', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Kctd12', 'Pcp4', 'Plp1', 'Reln', 'Sulf2', 'Zcchc12']	[0.5106713538423581, 1.9692587776458408, 0.9946646139564227, 4.904792992527049, 0.9900614312093424, 0.569548460591644, 0.9870251924222111, 5.932427907987545, 0.31697759638575695, 0.9865166330087513, 0.686267149296064]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0023841407246117637, 0.46646915781917514, 0.10272359701001953, 0.07536712740679424, 0.26840946374497576, 0.08463330376999992]
251	714.0	2772.0	['Aldoc', 'Enpp2', 'Id2', 'Pcp4', 'Plp1']	[0.002300542355202583, 0.9356492845109757, 0.003148981551370978, 1.9864060163210862, 7.018588643964684]	['Eryth.1', 'Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.002138101662019995, 0.6499277502697781, 0.027308093851790543, 0.002694070363782685, 0.008729866573507553, 0.13062306137716664, 0.17807258203192783]
252	706.0	671.0	['6330403K07Rik', 'Cplx2', 'Cxcl14', 'Id2', 'Neurod6', 'Pcp4', 'Prkca', 'Pvalb', 'Rgs4', 'Trp53i11']	[0.9861070235861856, 0.10373142754794577, 0.006620383879946797, 0.9758896810568631, 0.758232191095366, 0.9796402078290907, 0.48919054462042005, 0.010431235957801982, 0.001840222336734741, 0.0010921012992145883]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.013677177215514097, 0.004946960282120192, 0.014113522492245385, 0.0026420927526899923, 0.014397519552257623, 0.010237308151691247, 0.004734294438108344, 0.023609292775428475, 0.01893460298943167, 0.004231973532590731, 0.007408796422933761, 0.8758525003206606]
253	713.0	2799.0	['Aldoc', 'Cryab', 'Enpp2', 'Id2', 'Pcp4', 'Plp1', 'Rprm']	[0.25464415517522776, 0.7974675325836124, 2.0240150608641505, 0.579309534752008, 0.003210538815373836, 4.618947488674736, 0.9906346155574544]	['Eryth.1', 'Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.002509381040631266, 0.3953257418710656, 0.0955755971963542, 0.010444976581004252, 0.02470409990968514, 0.2270540678717235, 0.24106571762263101]
254	720.0	1480.0	['3110035E14Rik', '6330403K07Rik', 'Arpp21', 'Calb2', 'Cck', 'Cplx2', 'Crym', 'Cxcl14', 'Enc1', 'Enpp2', 'Fam19a1', 'Gad1', 'Neurod6', 'Npy', 'Npy2r', 'Nrn1', 'Pcp4', 'Pde1a', 'Prkca', 'Pvrl3', 'Rasgrf2', 'Rgs4', 'Scg2', 'Snca']	[4.181162121973562, 0.0026461579295318813, 1.3831173115128712, 0.5380243015687537, 0.01977920690191473, 6.235092095608628, 2.966642684337165, 0.9853671699812124, 6.791990591534159, 0.2855487235271515, 2.45389026227943, 0.0037757340155337364, 11.309425999856604, 0.010101183768896843, 0.9806244601955992, 1.4556890300926364, 2.952544073475805, 1.0427809527327567, 2.7605781178647115, 0.012861301491114904, 0.04316493629940097, 1.995143306651261, 0.9954062275971299, 1.7541893018297936]	['PC.CA1.3', 'PC.Other2']	[0.007987706402974543, 0.9917542157239737]
255	719.0	1326.0	['3110035E14Rik', 'Aldoc', 'Arpp21', 'Bcl11b', 'Cck', 'Cnr1', 'Cplx2', 'Enc1', 'Fam19a1', 'Htr3a', 'Id2', 'Neurod6', 'Nrn1', 'Pcp4', 'Pde1a', 'Prkca', 'Rgs4', 'Rorb', 'Slc6a1', 'Snca', 'Sulf2']	[1.3069987590154408, 0.008534981960426338, 1.400614498811727, 0.01905030904385205, 0.0026929225820933713, 0.11067726853880104, 2.5620834630304183, 2.2337123183911496, 1.003316942558336, 0.024457111452781836, 0.77499189214592, 4.263674268439879, 0.8569083786655113, 2.9957301292608816, 0.3509625037130838, 2.1821038752218156, 1.5406527667133787, 0.0011527162514311346, 0.010493560724666255, 0.0025603987722730513, 0.19965934582224654]	['PC.CA1.1', 'PC.CA1.2', 'PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.007282295356243379, 0.026249012981858746, 0.016708997367851273, 0.6379865967182364, 0.31177305309975484]
256	715.0	1396.0	['3110035E14Rik', 'Arpp21', 'Bcl11b', 'Cck', 'Cplx2', 'Crym', 'Enc1', 'Htr3a', 'Kit', 'Neurod6', 'Nrn1', 'Pcp4', 'Pde1a', 'Prkca', 'Pvrl3', 'Rgs4', 'Sema3c', 'Snca', 'Sst']	[0.30294115399749977, 0.9986838917177356, 0.02328967509348508, 0.1874939379292467, 8.702263042299844, 1.5050044572157733, 5.159437156003293, 1.57718144304407, 0.7384013892824453, 10.31977329513901, 0.2688054373865753, 2.844006915693891, 0.024269165851886692, 3.29929440519914, 0.7478110625301526, 2.98479194548325, 0.01135247343981054, 5.32076588562238, 0.007788247054476127]	['PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.0011153662943225145, 0.00127298467007717, 0.9976109905007517]
257	733.0	1646.0	['3110035E14Rik', 'Arpp21', 'Cck', 'Cnr1', 'Col25a1', 'Cplx2', 'Crym', 'Cxcl14', 'Enc1', 'Gabrd', 'Id2', 'Kctd12', 'Kit', 'Neurod6', 'Npy2r', 'Nrn1', 'Nrsn1', 'Pcp4', 'Pde1a', 'Plp1', 'Prkca', 'Pthlh', 'Reln', 'Rgs4', 'Rorb', 'Scg2', 'Snca']	[1.9714903656149179, 1.997234976452243, 0.011064870831873824, 0.9962256556859636, 0.9956913939316772, 6.491036238678894, 0.0056820454212717945, 0.983218897838921, 2.903593123808422, 0.992451834656473, 0.017047827197509486, 0.002037320278059463, 0.019832489013530165, 5.183897334772996, 0.9706601392872164, 0.16371503196629308, 0.9886208028485867, 2.22397011029239, 1.5028606375688083, 0.15281334166873384, 3.364401819004952, 0.9270588355635929, 0.010344266020943207, 4.009072737295215, 0.9875679337808033, 0.005783632271490365, 2.9953953724814197]	['PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.00321985129376024, 0.1578679930092628, 0.8386810447194807]
258	729.0	1423.0	['3110035E14Rik', 'Calb2', 'Cck', 'Cplx2', 'Crym', 'Enc1', 'Enpp2', 'Htr3a', 'Kit', 'Neurod6', 'Npy', 'Npy2r', 'Nrn1', 'Pcp4', 'Pde1a', 'Plp1', 'Prkca', 'Pvrl3', 'Rasgrf2', 'Rgs4', 'Sema3c', 'Slc6a1', 'Snca', 'Sst', 'Sulf2', 'Wfs1', 'Zcchc12']	[6.184742837862872, 0.006784057313364301, 0.3230743565239482, 3.7652635247710236, 0.023946512929751303, 3.1113677514173292, 0.9883031384393746, 0.1769241586658893, 0.0022172934137601693, 11.544310448405806, 0.15326364165132914, 1.981485254830385, 0.013159415936067006, 1.4561538124401783, 2.091346377123865, 0.9951274916681095, 2.0077161917152515, 0.10724598440635112, 0.4101992954843128, 1.053999241773755, 0.9777640393343454, 0.9579993299437606, 0.967450744850004, 0.9798959517704048, 0.9957038038904256, 0.9931131870127049, 0.032513462623705164]	['PC.CA1.2', 'PC.CA1.3', 'PC.Other2']	[0.004927202329220774, 0.9585720903843895, 0.035959379656202856]
259	730.0	997.0	['3110035E14Rik', 'Aldoc', 'Arpp21', 'Cplx2', 'Cpne5', 'Crym', 'Enc1', 'Fam19a1', 'Id2', 'Kctd12', 'Kit', 'Neurod6', 'Npy', 'Nr4a2', 'Nrn1', 'Nrsn1', 'Pde1a', 'Plp1', 'Prkca', 'Pvrl3', 'Rgs4', 'Scg2', 'Snca']	[4.011595537320169, 0.006785857989684057, 2.2912522163842626, 3.515462183688442, 0.9845500438243825, 0.9888777924015147, 0.010502050762320412, 0.002043265497654408, 0.04878989607468877, 0.04593434950502294, 1.989287224713341, 15.660438201849104, 0.9362826859235056, 0.992893730982172, 1.981881392087091, 0.14808413219022726, 0.9814072911382784, 3.832447075561013, 2.6177399478586985, 0.01634687630800137, 3.532855544400209, 1.9417023798901685, 2.1141112971887943]	['PC.CA1.3', 'PC.Other2']	[0.964000128638799, 0.03590450170670053]
260	730.0	646.0	['6330403K07Rik', 'Cplx2', 'Cryab', 'Crym', 'Kit', 'Neurod6', 'Nrsn1', 'Pcp4', 'Pde1a', 'Plp1', 'Rgs4', 'Slc6a1', 'Trp53i11']	[0.0012422007550732484, 0.003562987903152995, 0.06320361843306015, 0.9885302587747263, 0.03989169577192477, 0.08641996442110265, 0.017371151290751806, 0.005858351420971662, 0.0036716425251154647, 0.9881649472764987, 1.0886358657598694, 0.05454700142978943, 0.277435115699133]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.001757991311015455, 0.0010615492733769647, 0.002978205140359175, 0.03804777867160078, 0.020140896134332925, 0.010985708874284168, 0.014297072010938957, 0.014998073714867997, 0.0388945135245935, 0.8540911865325791]
261	729.0	684.0	['3110035E14Rik', 'Cplx2', 'Cryab', 'Crym', 'Cxcl14', 'Id2', 'Kctd12', 'Neurod6', 'Pde1a', 'Prkca', 'Pvalb', 'Slc6a1', 'Snca', 'Synpr']	[0.016546068543288606, 3.491870836947708, 0.9784991016144369, 0.0024217000434663466, 0.9905399106878495, 0.013202214289130982, 0.581204043228409, 1.1328150538413397, 0.6101895130345744, 0.056459103310898484, 1.2644744139966644, 0.8026206327757907, 0.9205479937114438, 0.33162564266938527]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Cacna2d1.Ndnf.Cxcl14', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Cryab', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Calb2.Vip.Nos1', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.2', 'Ntng1.Rgs10', 'PC.CA1.1', 'PC.CA1.2', 'PC.CA1.3', 'PC.Other1', 'Pvalb.C1ql1.Cpne5', 'Pvalb.Tac1.Nr4a2', 'Vip.Crh.C1ql1', 'Vip.Crh.Pcp4', 'Vsmc', 'Zero']	[0.015805641143722078, 0.0029513758258824002, 0.00962647807017827, 0.005872168704849495, 0.0036935742577648913, 0.01210446696878282, 0.04833435299746302, 0.05711010561835812, 0.23039677378523812, 0.14431204215712312, 0.0784630270898598, 0.042359261587730464, 0.03652151447644625, 0.0014640629161095247, 0.004723427057858369, 0.0011791579684036842, 0.001255116303781536, 0.004238555490817394, 0.1054085464362449, 0.02790446891991161, 0.002606081426634583, 0.001903186400346606, 0.0019240023072723026, 0.001708798618401965, 0.051578966695829884, 0.015421759925533535, 0.0020328348990482524, 0.08532799598409868]
262	731.0	2584.0	['Aldoc', 'Cadps2', 'Cplx2', 'Pvalb']	[2.0171343206095824, 0.009881512486416577, 0.6740071180010453, 0.0015971365466922805]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.08749989670378151, 0.07909701646146511, 0.0286782323257006, 0.03717277748313417, 0.09779001477013669, 0.002490219248668832, 0.003947017612979987, 0.0012147852280268608, 0.0048577049588605205, 0.006131094219967415, 0.0048012685740775754, 0.6430304135451314]
263	725.0	2115.0	['3110035E14Rik', 'Aldoc', 'Cplx2', 'Npy', 'Rgs12', 'Rorb', 'Satb1']	[0.0014537778527341963, 0.0032635928822661907, 0.002871275784015874, 0.022284595624078203, 0.007353056165921516, 0.9823374738154624, 0.054261890924545614]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0021192497954789008, 0.0018580810938715892, 0.0023850382511868763, 0.005258697429718706, 0.006910944869455853, 0.008212666384121653, 0.009554847369465502, 0.007839071604927913, 0.9505745098319514]
264	737.0	2882.0	['3110035E14Rik', '6330403K07Rik', 'Arpp21', 'Cryab', 'Npy', 'Plp1']	[0.9481180597226402, 0.008333368017835874, 0.9812077598971769, 2.995139412592287, 0.9708879520337197, 13.93228669867685]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.011951200820469141, 0.03948140120178207, 0.0035776021726391465, 0.013139719751298807, 0.12016752390917666, 0.8116825517962741]
265	740.0	1744.0	['3110035E14Rik', 'Cck', 'Cort', 'Cplx2', 'Fam19a1', 'Gad1', 'Htr3a', 'Id2', 'Neurod6', 'Nrsn1', 'Pcp4', 'Pde1a', 'Prkca', 'Pthlh', 'Pvalb', 'Rgs4', 'Satb1', 'Snca']	[0.9903416446580073, 0.9953720910562569, 0.022691356206710027, 2.075962280110961, 0.9898654378783517, 0.14254908727652535, 0.14290583509361549, 0.0024642241347088392, 1.5205506936916044, 0.7217238755053651, 5.883728088396197, 0.9979214369352675, 0.006431205832712144, 0.0010230639200697253, 0.5213926260648986, 0.6340922144006808, 0.9119485244541737, 0.04663594432146985]	['PC.CA1.1', 'PC.Other1', 'PC.Other2']	[0.06581689496470595, 0.918728315402444, 0.014552210170698477]
266	731.0	772.0	['3110035E14Rik', '6330403K07Rik', 'Aldoc', 'Cck', 'Cplx2', 'Crym', 'Enc1', 'Fam19a1', 'Id2', 'Neurod6', 'Nov', 'Nrn1', 'Nrsn1', 'Pde1a', 'Prkca', 'Pvrl3', 'Scg2', 'Snca', 'Synpr']	[0.03800227167507583, 0.022772280641182197, 0.6272991212235036, 0.14157064988020798, 3.3747115873371145, 0.9942793169472924, 1.7807484025434723, 3.4523629574792523, 0.005056885004505666, 3.9803144548555176, 0.006177527958670624, 0.9226163752044054, 0.44722990337012525, 0.3442949577715967, 0.9403305596726684, 0.050359148505542004, 0.0024892514868648766, 0.009347996880303296, 0.9836537695390354]	['PC.CA1.1', 'PC.CA1.2', 'PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.0036806832707939057, 0.098516818394378, 0.8746561762850805, 0.0017617933078346371, 0.02138382170127675]
267	737.0	1130.0	['3110035E14Rik', '6330403K07Rik', 'Aldoc', 'Arpp21', 'Bcl11b', 'Cplx2', 'Crym', 'Enc1', 'Enpp2', 'Fam19a1', 'Htr3a', 'Kctd12', 'Kit', 'Neurod6', 'Nos1', 'Nr4a2', 'Nrn1', 'Nrsn1', 'Pcp4', 'Pde1a', 'Plp1', 'Prkca', 'Rasgrf2', 'Rorb', 'Snca', 'Sst']	[2.853292966468427, 0.8763178018495478, 0.9974242265305734, 3.3084049698889872, 0.03186386915592386, 4.316143649696107, 2.0746835912540242, 5.08740765693221, 0.03174516661285491, 1.9949637191468876, 0.9840877364032967, 0.9345674389944932, 1.3549243150685082, 8.269166909383484, 1.6339840840059519, 0.0034694576291808684, 0.0014538328793610594, 0.006300584636231159, 0.2421790495186192, 1.7261678604734354, 0.004106862286273326, 5.446509184794054, 0.04768951497887748, 0.46099140486845414, 1.9244030774124368, 0.0015044830553376373]	['PC.CA1.3', 'PC.Other2']	[0.4907788077956418, 0.5083995493504088]
268	742.0	2326.0	['6330403K07Rik', 'Aldoc', 'Cplx2', 'Cpne5']	[0.27278611455539176, 7.829415862826431, 0.10345416184341563, 0.9890491333290177]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5']	[0.1282296715075795, 0.3312667081365436, 0.11069575546422665, 0.265474489875955, 0.16433005862616906]
269	745.0	2828.0	['3110035E14Rik', 'Aldoc', 'Cryab', 'Enc1', 'Enpp2', 'Hapln1', 'Id2', 'Penk', 'Plp1', 'Rorb', 'Satb1']	[0.00488311625383881, 0.0799276075600418, 1.0002750762460164, 0.9285421317402814, 2.98831697384014, 0.9923419979251985, 0.9139701637956611, 0.008634133737870642, 19.646490212768228, 0.9814145184471197, 0.9939550140506447]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.005889957440596975, 0.2861010974868771, 0.0651896125102354, 0.08134352427680827, 0.38196376865278275, 0.17951203963244403]
270	748.0	906.0	['3110035E14Rik', 'Arpp21', 'Bcl11b', 'Cck', 'Cplx2', 'Enc1', 'Enpp2', 'Fam19a1', 'Neurod6', 'Nrn1', 'Pde1a', 'Prkca', 'Satb1', 'Slc6a1', 'Snca', 'Yjefn3', 'Zcchc12']	[1.8670037403017197, 0.996583692879204, 0.9833643481054998, 0.029411444322550138, 4.9720563467163394, 2.5741065590509393, 0.991861091442094, 2.8685312543274155, 1.7103251380499624, 0.013835697297700606, 1.256816227659747, 2.91145041812196, 0.9953867366638249, 0.9884114245262019, 1.8765990398899353, 0.9740455010331736, 0.003107283254675185]	['PC.CA1.1', 'PC.CA1.2', 'PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.001382156974848513, 0.08394897546781972, 0.7968761223581206, 0.015424311108647804, 0.10236832651349038]
271	742.0	2105.0	['Aldoc', 'Cplx2', 'Npy', 'Rasgrf2', 'Rorb', 'Satb1', 'Slc6a1', 'Sst']	[1.6609110965159624, 0.0027039769653553086, 0.01726107464998107, 0.0011883555405716446, 0.012316836357866373, 0.9307742238980126, 0.004597809532934156, 0.1716150040685293]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.03663081646854155, 0.043072502970919094, 0.014338608265318265, 0.020047384005716484, 0.04909231577609927, 0.003481707627535835, 0.004785295402896105, 0.0013830707270947582, 0.0067704506593661866, 0.007856736934124923, 0.0068834506720384025, 0.8021679814768022]
272	745.0	1951.0	['3110035E14Rik', 'Aldoc', 'Cplx2', 'Id2', 'Kctd12', 'Neurod6', 'Pcp4', 'Prkca', 'Pvalb', 'Rgs4', 'Scg2', 'Snca']	[0.2538232035628057, 0.007407304344909583, 1.320685530823139, 3.8953887524628605, 0.21072245558773395, 0.47421556273781557, 0.14662008727744652, 0.779686430091341, 0.1561839432391047, 1.4012847252054175, 0.0040583164779777635, 0.022672879852845124]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Cacna2d1.Ndnf.Cxcl14', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cryab', 'Calb2.Vip.Gpd1', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'PC.CA1.1', 'PC.CA1.2', 'Pvalb.C1ql1.Npy', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.04303358546112119, 0.06743125707586572, 0.2577105546500385, 0.05389400246131536, 0.029157619652146215, 0.002831072735528065, 0.0016042666136964335, 0.005219734117139286, 0.0015422171757488695, 0.23401069932321897, 0.0013538607770381562, 0.07603041751886407, 0.015287696503446885, 0.0034368225305036358, 0.0018423469819480376, 0.001915152445291619, 0.0011911075845855933, 0.01611325049750788, 0.17951956329712837]
