Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
10	42.0	1274.0	['3110035E14Rik', 'Cck', 'Cplx2', 'Enpp2', 'Fam19a1', 'Id2', 'Plp1', 'Pvalb', 'Rgs4']	[1.9397986535312683, 0.8904974569961845, 0.1577456915643456, 1.984899690065756, 1.818830617862421, 3.946419637898076, 14.561800131425846, 0.9849743588651217, 0.8754976343878936]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.03837391354159533, 0.040849869050713285, 0.00417577221063298, 0.0022077922757582484, 0.029356061363870038, 0.8850365636473614]
11	24.0	605.0	['6330403K07Rik']	[0.9917715619551996]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0018713756714111283, 0.001435888988455133, 0.0012101931795461057, 0.002531491046063671, 0.004488482088391522, 0.006076032342350731, 0.007529954215600971, 0.00894348920830072, 0.007066203548090459, 0.9542849023578359]
12	38.0	741.0	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.9833926200807265, 0.15580458450361134, 0.9589803128426251, 0.9678423705717465, 0.0024687769919098075, 4.844480499471603]	['Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.1', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.0022508301118240454, 0.001554370872922735, 0.021399052824618067, 0.7854563124371906, 0.0020431598835861917, 0.0010544885873237735, 0.014200690566120302, 0.004087773996439621, 0.05609724078960081, 0.10650604874176207, 0.0012728885325082834, 0.002471352395214015]
13	33.0	835.0	['Pde1a', 'Plp1']	[0.9911300388541837, 16.997600031062845]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.3240013179667795, 0.03732020890724658, 0.0022938791107125524, 0.013351318523077386, 0.1914412798728171, 0.431591985498686]
14	31.0	1116.0	['Gad1', 'Id2', 'Plp1']	[0.001073547242778993, 0.0038057828996331043, 0.9901938496773737]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.001995730977836507, 0.0014151154001109851, 0.0037137829261577964, 0.00876097632514645, 0.0221145633369607, 0.005618785945587196, 0.015226749952476323, 0.015809520802338835, 0.013088490884755494, 0.9092793987927541]
15	41.0	1187.0	['Cryab', 'Id2', 'Kctd12', 'Plp1']	[0.972747259021611, 0.001049391129924561, 0.9941700717580805, 5.2631777262043355]	['Eryth.1', 'Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.00400172999824164, 0.6987567061691566, 0.013679549929918733, 0.0011881292084837724, 0.005942997164864925, 0.0806176870432019, 0.19384116554488648]
16	48.0	922.0	['Arpp21', 'Enpp2', 'Id2', 'Plp1']	[0.001891328917521241, 3.9746560994336337, 1.9067631267592369, 15.99860422595664]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.008850535537728563, 0.3421983367444554, 0.06368378503579028, 0.06505412581542196, 0.368662322942719, 0.15155089383282477]
17	50.0	436.0	['Cryab', 'Enpp2', 'Plp1']	[2.961473269772913, 0.790921455561605, 5.200634695501603]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.12125462264217787, 0.06942633039882871, 0.012383592455722988, 0.04623973445797881, 0.3857389301135628, 0.3647918726608651]
18	44.0	675.0	['Cadps2', 'Id2', 'Prkca', 'Pvalb']	[0.8945182350790938, 0.004704651553609323, 0.0023970120641558018, 0.8639356007608857]	['Astro.1', 'Astro.2', 'Astro.5', 'Calb2.Cntnap5a.Igfbp6', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Pvalb.Tac1.Nr4a2', 'Vsmc', 'Zero']	[0.0018451806125632803, 0.0016800846453328808, 0.002216798716158516, 0.001009283884239314, 0.005582907523745297, 0.0071283150027599065, 0.008404007238113395, 0.009878864738893467, 0.001143763822024307, 0.008116027066660954, 0.946502472500436]
19	56.0	884.0	['3110035E14Rik', 'Cpne5', 'Cryab', 'Enpp2', 'Npy', 'Pcp4', 'Plp1', 'Prkca']	[0.003022185615241702, 1.9782644961565024, 0.9990183652290354, 1.974052336972877, 0.994187535517728, 0.9576714578510218, 7.994894419498801, 2.992193855529405]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0614416880231599, 0.023579610874392712, 0.01706842177156686, 0.05431181044838716, 0.18621013801268818, 0.6573801555813003]
20	55.0	1051.0	['Cryab', 'Cux2', 'Plp1', 'Rgs4']	[1.342812882091649, 0.9944282797797153, 17.996921560981892, 0.010567982462273829]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.06160100486403801, 0.06460922109668932, 0.007161390938016381, 0.0328450536045601, 0.3315660957806036, 0.5022172336168534]
21	48.0	544.0	['3110035E14Rik', 'Enpp2', 'Pde1a', 'Plp1']	[0.9454248535167228, 0.7310818801615646, 0.013341994748189178, 6.322170505765646]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.2629869019615682, 0.05667860796882171, 0.0047166129383558525, 0.012971335048399955, 0.11370162138566366, 0.5486086446864257]
22	59.0	369.0	['Cryab', 'Enpp2', 'Npy', 'Npy2r', 'Plp1']	[3.9957021294365536, 0.023382981435120662, 0.00339598733886195, 1.9868257013050923, 13.473399445489513]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.008406830636319737, 0.06574605075977749, 0.015592274725923635, 0.0670225271119692, 0.466261299332131, 0.37697101735242294]
23	63.0	658.0	['Aldoc', 'Id2', 'Plp1', 'Prkca', 'Pvalb', 'Snca']	[2.9971639216545327, 0.9732068230591528, 0.9869113994139569, 1.9911946729637608, 0.04560625534533555, 0.33323483564039824]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Eryth.2', 'Microglia.1', 'Zero']	[0.08739868737024704, 0.16135643588741908, 0.11213286969235223, 0.18622007401386514, 0.4385468524787274, 0.0021269559749382285, 0.0010388209084503518, 0.008316341165152102]
24	72.0	522.0	['3110035E14Rik', 'Enpp2', 'Pvalb', 'Sulf2']	[0.05702870656824602, 0.0032187957206901282, 0.29070202710415405, 0.9845117227075364]	['Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.002992239592769112, 0.0048175354741545875, 0.007163100329330709, 0.00808843185084006, 0.005628350219590418, 0.968712075644042]
25	70.0	618.0	['Cplx2', 'Cryab', 'Enpp2', 'Plp1', 'Sst']	[0.03788702874856258, 3.005825605565183, 3.995317023007001, 12.533354383358747, 0.9911654310641366]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.31889525144498343, 0.09027823775610515, 0.13405497759042698, 0.4011528513134214, 0.05503153369567244]
26	76.0	1415.0	['3110035E14Rik', 'Id2', 'Plp1', 'Pvalb']	[0.004088544241857575, 1.2042453049571626, 0.028187389743422196, 1.7661762202576594]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0020907196929674595, 0.0027311593347611966, 0.0014384721693813838, 0.0011218580441564464, 0.002260248168678448, 0.008790419412312088, 0.004712102858312873, 0.019895411386646838, 0.014420501064245172, 0.007459532563652992, 0.9338603396857517]
27	66.0	459.0	['Cryab', 'Enpp2', 'Kctd12', 'Npy', 'Plp1']	[5.7646138789608905, 1.0699104646082231, 0.002080179682298127, 0.9842026905614244, 12.0644097543652]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.1041456469011532, 0.06217422156332124, 0.15058137361120832, 0.5126585605053802, 0.17014461321553861]
28	61.0	785.0	['Cryab', 'Enpp2', 'Plp1']	[0.2669455505297355, 0.9407784840745375, 0.969414640008523]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'Vsmc', 'Zero']	[0.0034881551583741347, 0.002424885146332508, 0.0011932558706484974, 0.0017122779164509452, 0.005957012517362136, 0.01319591857720713, 0.021174889301949027, 0.0147682027241896, 0.015083323912255931, 0.015128995467813587, 0.0017165200011462038, 0.016374047755837437, 0.8832311176864747]
29	70.0	1355.0	['Enpp2', 'Plp1']	[0.997030201561454, 9.064738744925917]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.4751018225665057, 0.051640097577915156, 0.003963867857800949, 0.015162008747694798, 0.17041118576594363, 0.2836509865822068]
30	76.0	787.0	['Cryab', 'Enpp2', 'Plp1']	[0.004771285031952526, 0.052935990199806306, 0.02923075400608515]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.001594101626827738, 0.0014958325358940736, 0.0020722449737878004, 0.005357103988901112, 0.007156584675663481, 0.008343138809261932, 0.009692547643805746, 0.007926776554737999, 0.9516661966367855]
31	72.0	400.0	['Cryab', 'Enpp2', 'Htr3a', 'Kctd12', 'Npy', 'Pde1a', 'Plp1']	[1.0339573686821297, 0.032182361737180906, 0.9081043488837857, 0.9945222332496249, 0.01616700740822109, 0.9940809039909905, 6.499530787231205]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.5374913173699661, 0.022910728356750846, 0.002311013325208848, 0.010862936815047094, 0.13028398489987714, 0.2956775166812281]
32	74.0	1310.0	['Plp1', 'Sst']	[11.182041033060775, 0.7851603166911875]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.45864260515984256, 0.0341839231078917, 0.0024378056529111842, 0.012164127702614765, 0.14501648851868507, 0.3475514127627781]
33	90.0	463.0	['Cryab', 'Enpp2', 'Kctd12', 'Npy', 'Pcp4', 'Plp1']	[3.819054435355921, 0.9243607677274779, 0.9880918422016254, 1.002222725225151, 0.9924086852999486, 10.772778272385828]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.00944509155013852, 0.09742487144444481, 0.02765689530211353, 0.0753207548795852, 0.48748265950074793, 0.3026697251904642]
34	87.0	376.0	['Cryab', 'Enpp2', 'Htr3a', 'Npy', 'Plp1']	[0.9198086583879538, 4.9667151294083185, 0.057458177963632735, 1.0833156225730705, 5.443250024565775]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.00934275265449558, 0.45128599102935174, 0.0924281829553942, 0.08582969974739497, 0.2931446131570817, 0.06795337587349441]
35	86.0	178.0	['Cryab', 'Enpp2', 'Npy', 'Plp1', 'Slc17a8']	[0.053175312239001925, 1.9940569418543936, 0.10041538533213502, 6.4772350714763345, 0.9940093716191655]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.4027156783412103, 0.09844042930364462, 0.009087137425305987, 0.02484134992465215, 0.22184357991009224, 0.24218740035776104]
36	99.0	399.0	['Cryab', 'Enpp2', 'Htr3a', 'Npy', 'Plp1']	[1.0415664725984377, 0.9815848536402508, 0.01879785196888412, 0.8785776822483679, 4.236378984853826]	['Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.0012659598332734432, 0.0014760694309986356, 0.008297819782509605, 0.5502135646536433, 0.0010780542254332187, 0.034842660878798, 0.0034097452510460564, 0.012467263464016894, 0.1372317708525474, 0.24443211602591128, 0.0013371964384517366, 0.0028640750455592753]
37	93.0	1539.0	['6330403K07Rik', 'Cryab', 'Enc1', 'Enpp2', 'Pcp4', 'Plp1', 'Rgs4']	[0.004814764576550559, 0.07187494219062984, 0.11582889730086753, 2.988959201789804, 0.011518000568435643, 10.597844381743185, 0.03242973411001595]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.07786974044579022, 0.25827290318962454, 0.028105341352065556, 0.05744534469625011, 0.3716094295270709, 0.20669652773488315]
38	97.0	698.0	['Cck', 'Cryab', 'Npy', 'Plp1']	[0.9887391850011324, 2.006649894369492, 0.008441798807983857, 6.203367891067942]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.39598206884865733, 0.03032593287794942, 0.003950394647948294, 0.01591898367811069, 0.20197630522276785, 0.3513243010736407]
39	99.0	1566.0	['Cryab', 'Enc1', 'Enpp2', 'Plp1', 'Rgs4']	[0.19985927307561566, 0.04508001878102978, 0.005661398129914315, 1.1448482367060389, 0.9550893146479992]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0020015746647008303, 0.001272122111244812, 0.00396525024833698, 0.03819148438952849, 0.02501103510650053, 0.01804314313561533, 0.016247858062146084, 0.016477549951073207, 0.03936665854591374, 0.8364399257326226]
